SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SOLARA,EQ,2021-07-22,1666.2,1680.0,1684.0,1654.0,1660.0,1658.55,1668.15,46955,783.28,5278,31343,66.75
SOLARINDS,EQ,2021-07-22,1591.7,1602.0,1630.0,1598.55,1619.95,1614.65,1618.87,18917,306.24,4440,12084,63.88
SOMATEX,EQ,2021-07-22,7.0,7.0,7.25,6.9,7.05,7.15,7.08,40697,2.88,120,32788,80.57
SOMICONVEY,EQ,2021-07-22,58.85,60.6,60.6,57.8,59.35,59.2,59.03,16191,9.56,431,10633,65.67
SONACOMS,EQ,2021-07-22,439.85,428.0,452.0,411.1,452.0,440.5,426.66,9450575,40321.7,138994,4751401,50.28
SONATSOFTW,EQ,2021-07-22,768.1,780.0,804.0,777.0,788.0,787.55,790.16,178435,1409.92,9760,81466,45.66
SORILINFRA,EQ,2021-07-22,135.15,137.0,138.9,133.3,135.0,134.95,136.77,48600,66.47,1005,27299,56.17
SOTL,EQ,2021-07-22,1474.95,1476.0,1500.0,1452.65,1498.0,1487.9,1481.55,34389,509.49,4191,19458,56.58
SOUTHBANK,EQ,2021-07-22,12.0,12.2,12.35,12.1,12.25,12.2,12.24,11911826,1458.58,41404,4933170,41.41
SOUTHWEST,EQ,2021-07-22,54.95,56.7,56.9,54.05,56.0,56.3,55.5,107498,59.66,918,86330,80.31
SPAL,EQ,2021-07-22,298.55,301.45,311.65,295.8,308.1,308.2,304.06,118992,361.8,4457,61363,51.57
SPANDANA,EQ,2021-07-22,653.45,663.0,667.8,651.9,659.5,655.55,658.04,55973,368.33,3136,31930,57.05
SPARC,EQ,2021-07-22,243.65,245.4,253.7,245.4,248.65,247.65,249.95,1253788,3133.84,13621,391364,31.21
SPECIALITY,EQ,2021-07-22,67.7,68.2,75.25,68.2,71.95,72.05,72.54,982036,712.39,7625,274007,27.90
SPENCERS,EQ,2021-07-22,88.3,89.2,93.8,88.2,93.0,92.7,91.29,1482875,1353.75,12298,502932,33.92
SPIC,EQ,2021-07-22,61.7,62.3,64.35,61.75,63.0,62.7,63.03,1523799,960.53,6444,663783,43.56
SPICEJET,EQ,2021-07-22,75.7,76.0,80.1,75.6,78.35,78.9,78.03,6193934,4833.17,23150,1719313,27.76
SPLIL,EQ,2021-07-22,49.55,50.3,57.5,48.15,54.7,54.75,54.81,768961,421.44,6898,286830,37.30
SPMLINFRA,EQ,2021-07-22,11.1,11.35,11.65,10.8,11.55,11.55,11.48,59650,6.85,130,39176,65.68
SPTL,EQ,2021-07-22,5.95,6.0,6.1,5.7,5.75,5.75,5.84,1923729,112.44,1496,1184643,61.58
SREEL,EQ,2021-07-22,188.1,188.2,190.95,186.0,186.0,187.9,189.61,9948,18.86,352,6267,63.00
SRF,EQ,2021-07-22,7796.95,7814.35,7939.95,7814.35,7910.2,7907.2,7895.56,92340,7290.76,14216,24531,26.57
SRHHYPOLTD,EQ,2021-07-22,315.5,324.9,329.75,320.0,325.0,324.35,325.18,16918,55.01,955,10862,64.20
SRIPIPES,EQ,2021-07-22,213.75,217.8,221.9,216.65,219.55,219.0,219.05,99912,218.86,3143,46353,46.39
SRTRANSFIN,EQ,2021-07-22,1395.9,1398.9,1402.55,1370.0,1392.75,1395.3,1389.94,1749604,24318.49,60686,670489,38.32
SSWL,EQ,2021-07-22,1221.5,1234.7,1323.9,1230.45,1308.0,1307.75,1290.76,99076,1278.83,8136,44093,44.50
STAR,EQ,2021-07-22,765.95,770.0,781.0,765.1,778.0,776.55,773.88,261980,2027.4,8502,81143,30.97
STARCEMENT,EQ,2021-07-22,114.8,117.0,119.25,116.3,116.8,116.9,117.72,1376080,1619.92,16302,607763,44.17
STARPAPER,EQ,2021-07-22,160.15,163.95,163.95,158.8,159.35,159.8,161.87,174947,283.18,4120,64380,36.80
STCINDIA,EQ,2021-07-22,109.1,110.85,116.25,110.1,114.0,113.55,113.26,109556,124.09,3762,33132,30.24
STEELCITY,EQ,2021-07-22,91.95,93.8,94.75,82.8,82.8,82.8,85.22,752523,641.27,8248,443500,58.94
