MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,Y1,DHFL,SEC RED NCD 8.65% SR. VI,       320.00,       320.80,       339.99,       320.80,       336.40,                   797823.53,2374, ,30,       380.00,       215.00
N,Y1,L&TFINANCE,SE RE NCD SR.II OPT 4,      1145.00,      1146.00,      1146.00,      1145.00,      1145.60,                    57280.00,50, ,2,      1199.00,       925.40
N,Y1,SREIBNPNCD,SEC RED NCD 9.12% SR. VI,       371.12,       420.00,       420.00,       400.00,       419.90,                    29196.00,70, ,7,       940.00,       262.50
N,Y2,SREIBNPNCD,SEC RED NCD 9.50% SR. VII,       363.21,       434.99,       434.99,       432.97,       432.97,                     6514.75,15, ,3,       950.00,       311.05
N,Y3,SREIBNPNCD,SEC RED NCD SR. VIII,       465.10,       558.12,       558.12,       558.12,       558.12,                     1674.36,3, ,2,      1269.90,       465.10
N,Y7,L&TFINANCE,SE RE NCD 8.29% SR.V O10,      1075.00,      1075.00,      1075.00,      1074.00,      1074.00,                    56972.00,53,XI,2,      1141.80,      1015.00
N,Y7,SREIBNPNCD,SEC RED NCD 8.65% SR. VI,       425.00,       400.00,       400.00,       400.00,       400.00,                      800.00,2, ,1,      1000.00,       302.00
N,Y8,SREIBNPNCD,SEC RED NCD 9.00% SR. VII,       430.00,       385.00,       385.00,       350.00,       367.69,                    73539.60,200, ,6,       900.00,       271.80
N,Y9,L&TFINANCE,SE RE NCD 8.65% SR.VI O12,      1115.00,      1120.00,      1120.00,      1116.00,      1118.36,                   301991.30,270, ,12,      1225.50,      1050.00
N,Y9,SRTRANSFIN,BOND 10.15% PA SRN S-III,      1102.00,      1108.00,      1108.00,      1102.50,      1102.52,                   100387.00,91, ,6,      1200.00,       911.00
N,YB,SRTRANSFIN,BOND 9.71% PA SRN S-V,      1003.55,      1004.25,      1004.25,      1004.20,      1004.20,                    50210.50,50, ,2,      1100.00,       926.01
N,YH,SRTRANSFIN,SEC RED NCD 8.93% SR. I,      1018.28,      1019.00,      1019.00,       972.00,      1014.00,                   689864.59,687, ,23,      1090.90,       840.00
N,YI,SRTRANSFIN,SEC RED NCD 9.03% SR. II,      1040.00,      1040.00,      1040.00,      1040.00,      1040.00,                   572000.00,550, ,3,      1150.00,       911.00
N,YJ,SRTRANSFIN,SEC RED NCD 9.10% SR. III,      1081.00,      1080.00,      1080.01,      1080.00,      1080.00,                  1944000.45,1800, ,6,      1082.00,       900.00
N,YK,SRTRANSFIN,SEC RED NCD 9.30% SR. IV,      1100.00,      1093.00,      1109.00,      1093.00,      1108.93,                   290220.80,262, ,11,      1109.00,       940.00
N,YL,SRTRANSFIN,SEC RED NCD 9.40% SR. V,      1109.00,      1118.00,      1118.00,      1111.00,      1111.00,                   122945.00,110, ,6,      1247.00,       921.50
N,YM,SRTRANSFIN,SEC RED NCD SR. VI,      1283.00,      1288.00,      1288.00,      1288.00,      1288.00,                    33488.00,26, ,2,      1298.00,      1100.50
